"PID","cond","reflection","choicedom","message_choice","pref_cont","CWV","pred_choice","pred_comp","pred_att","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","att_2","is_elg","age","race","edu","income","gender","employment","feedback"
1,"pos","It starts out positive, which is good. It is strongly worded, so that the person knows that it is up to them to do the job well and to get the bonus. ",1,"dom",4,3.7,"do",25,4,9,21,25,42,37,27,25,15,20,19,3,3,4,4,3,4,3,6,3,4,1,1,1,45,"white","GED","$40,001-$60,000","woman","Full-time",""
2,"pos","I think this message is encouraging and also acknowledging that the employee is capable of doing the task and knowing what is ahead.",1,"dom",5,2.1,"do",40,6,0,5,10,15,30,40,51,65,80,100,4,3,1,2,1,2,2,1,3,2,1,1,1,27,"white","4yearColl","$120,001-$140,000","man","Full-time",""
3,"pos","I believe in a positive management style, as that is what I respond to better and what I have witnessed most other people responding better to.",0,"nondom",3,2.7,"do",40,5,69,71,74,78,81,85,88,92,95,100,3,6,4,3,1,2,2,1,2,3,1,1,1,36,"white","MA","$80,001-$100,000","man","Full-time",""
4,"pos","They might be motivated at the possibility of earning a bonus for their work. They also might find tougher words motivating.",1,"dom",4,3.4,"do",35,5,0,5,10,15,20,25,36,50,70,80,5,6,1,3,5,3,2,1,3,5,1,1,1,28,"multiracial","4yearColl","$160,001-$180,000","man","Full-time",""
5,"neg","The employee could feel negative pressure. The relationship between manager and employee could be fractured. If my boss sent this to me, I would begin looking for a new job.",0,"nondom",1,2.1,"do",50,3,0,0,0,0,25,80,85,90,95,100,3,2,1,2,3,2,2,2,2,2,1,1,1,36,"white","MA","$140,001-$160,000","man","Full-time",""
6,"pos","No one wants someone to speak demeaningly to them. Honey attracts, vinegar offends. It's motivating to be spoken to with positivity.",0,"nondom",1,1.7,"do",50,6,100,100,100,100,100,100,100,100,100,100,1,2,1,1,2,1,2,1,2,4,1,1,1,62,"white","2yearColl","$20,001-$40,000","woman","Part-time","Have a blessed day!"
7,"neg","I feel like the message is a tad harsh to be honest. It’s a little aggressive and just not that nice.",0,"nondom",1,3,"skip",27,1,11,22,42,57,66,76,80,85,82,98,4,2,3,3,1,5,2,2,2,6,1,1,1,24,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
8,"neg","I think they would feel as if their manager isn't encouraging them to earn the bonus.  I think they would feel their manager doesn't believe in their ability to get the bonus.",0,"nondom",1,2.8,"skip",29,2,100,100,100,100,100,100,100,100,100,100,5,3,1,2,2,5,1,3,3,3,1,1,1,45,"white","GED","$100,001-$120,000","woman","Full-time",""
9,"pos","They might think the manager has confidence they can do the job well and that is why they were chosen for the task. ",0,"nondom",1,1.6,"skip",25,1,10,20,30,40,100,100,100,100,100,100,1,2,1,1,1,1,1,1,4,3,1,1,1,44,"white","4yearColl","$100,001-$120,000","man","Full-time",""
10,"pos","The employee might think that they respect their manager and appreciate the effort they do to running the department, so they will do their best to ensure work is done correctly. ",0,"nondom",1,2.5,"do",47,3,10,15,20,40,50,75,75,75,100,100,2,3,3,1,2,2,3,2,4,3,1,1,1,33,"white","PHD","$60,001-$80,000","man","Full-time",""
11,"neg","The message provided has a very condescending tone, it devalues the employee's worth to just their bonus.",0,"nondom",2,2.6,"do",35,5,15,20,20,30,40,50,65,70,85,100,3,2,2,3,2,2,3,2,5,2,1,1,1,28,"hispanic","MA","$100,001-$120,000","man","Full-time",""
