"PID","CWV","react","impact_rel","impact_comp","impact_quit","own_likeman","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","elg","og_pid","task","age","race","edu","income","gender","employment","feedback","income_num","edu_num","white","man"
1,2.7,"I think the employee decided to try and clean the rooms faster so he/she could keep their job.",6,6,4,4,2,5,1,2,2,2,2,1,5,5,1,1,31,"Clean the rooms faster",35,"white","4yearColl","Over $200,000","man","Full-time",NA,11,4,1,1
2,2,"Mananger might have been reported to HR and fired or moved",1,5,6,1,2,3,5,1,1,2,2,1,1,2,1,1,47,"Work in freezer while having the flu",23,"asian","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,0,0
3,1.8,"If the employee didn't even speak to the manager, I imagine there were no repercussions",1,7,7,1,2,1,1,2,2,2,2,1,2,3,1,1,12,"Stop taking breaks in tenants' apartments",58,"white","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,1,0
4,3.1,"sounds like the manager was getting more involved in the employees work and starting to look at it more closely. it also sounded like the manager threatened the employee, saying she cant make the manager look bad which is not ideal",3,4,5,2,3,3,3,4,3,4,3,2,3,3,1,1,43,"Be more focused at work",38,"white","MA","Over $200,000","man","Full-time",NA,11,5,1,1
5,3.3,"What happened as a consequence of the managers behavior is that he may have lost an employee and more over possibly have HR called on them. The employee felt threatened which is cause for an HR review",1,4,4,1,4,3,5,2,5,3,2,4,2,3,1,1,19,"Make more sales",39,"white","4yearColl","$60,001-$80,000","man","Full-time",NA,4,4,1,1
6,3.6,"I think the employees were fearful of upsetting the manager.  They were motivated by fear of punishment rather than achieving success.",2,5,6,2,5,3,5,2,3,5,3,2,3,5,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",41,"white","4yearColl","$100,001-$120,000","man","Full-time",NA,6,4,1,1
7,2.7,"I think the worker was disenfranchised and probably disconnected from work as a result of being treated this way.",1,6,7,3,3,4,3,3,1,4,2,2,3,2,1,1,12,"Stop taking breaks in tenants' apartments",34,"white","4yearColl","$160,001-$180,000","man","Full-time",NA,9,4,1,1
8,3.6,"I feel the manager lost the respect of his employee, considering the language used to describe him/power trip, but the employee was also likely yelled at or publicly rebuked.",1,3,5,1,5,2,2,5,1,6,5,1,6,3,1,1,39,"Clean something that the janitor normally cleans",31,"white","PHD","$60,001-$80,000","woman","Full-time",NA,4,6,1,0
9,2.2,"I imagine the employee felt annoyed and attacked. They might have tried to stand up for themselves but probably ended up trying to appease the manager.",2,5,6,1,1,2,1,1,1,2,2,2,6,4,1,1,29,"Help in completing the manager's project",43,"white","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,1,0
10,3.6,"The manager's behavior likely led to decreased morale and trust. The employee felt stressed and disrespected.",3,3,3,2,3,3,5,4,3,5,3,5,2,3,1,1,13,"Spearhead a project for a new children's exhibit",25,"asian","4yearColl","$80,001-$100,000","man","Full-time",NA,5,4,0,1
11,2.8,"I think there were no conseuqences for the manager's behavior and that it made the employee upset and feeling powerless",1,6,4,1,5,3,2,2,1,5,3,1,3,3,1,1,51,"Wash the vehicle every day, even if late",28,"white","MA","$80,001-$100,000","man","Full-time",NA,5,5,1,1
13,2.4,"I think the employee is turned off by the manager behavior and dominance. He probably doesnt give a damn about his job anymore",1,1,7,4,2,2,6,2,2,2,2,2,2,2,1,1,29,"Help in completing the manager's project",28,"asian","MA","$80,001-$100,000","man","Full-time",NA,5,5,0,1
14,2.5,"It looks to me that the employee probably put up with the manager's behavior. I doubt he or she reported it to the top-level and I doubt he/she quit.",3,4,4,1,4,2,2,2,2,2,4,2,2,3,1,1,47,"Work in freezer while having the flu",53,"white","PHD","$0-$20,000","man","Part-time",NA,1,6,1,1
15,3.3,"I dont believe there were any consequences for the managers behavior. The employee's reaction to that was frustration and anger.",1,7,7,1,5,3,3,2,3,5,2,5,2,3,1,1,30,"Get more customers to donate to charity",39,"white","2yearColl","$100,001-$120,000","man","Full-time",NA,6,3,1,1
16,2.6,"I believed nothing happened to the managers behavior since he was following a clients very specific detailed oriented instructions.",2,7,6,2,3,3,2,2,2,3,3,4,2,2,1,1,38,"Work in teams to get a job done according to instructions",43,"multiracial","4yearColl","$160,001-$180,000","man","Full-time",NA,9,4,0,1
17,2.3,"Employee's probably lost their motivation and didn't want to be there anymore.  They probably also lost some respect for the manager",1,3,7,1,2,3,2,1,2,3,2,2,3,3,1,1,44,"Dress in formal suits (when the norm is business casual) and stay in less expensive rooms in a hotel",54,"white","2yearColl","$100,001-$120,000","woman","Full-time",NA,6,3,1,0
18,2.2,"I think the manager didn't face any repercussions because the employee felt that they couldn't report their actions to anyone.",1,5,5,1,3,2,1,2,2,5,1,1,2,3,1,1,42,"Take up a colleague's duty as the employee was signing out",27,"black","2yearColl","$40,001-$60,000","woman","Part-time",NA,3,3,0,0
19,2.6,"I think the employee probably did the work, knowing that their job depended on making the terrible manager happy. The manager got promoted and made more money because their were able to get extra work done while not increasing the budget.",3,4,6,1,2,2,2,4,1,6,2,2,3,2,1,1,15,"Produce a great deal of documentation and research without additional compensation",35,"white","4yearColl","$140,001-$160,000","man","Full-time",NA,8,4,1,1
20,3.5,"I think there were negative consequences to the manager's behavior. I feel that the employee was very unhappy and eventually quit. The manager's behavior was unacceptable and demoralizes the team.",1,4,7,1,4,4,2,2,3,6,2,3,4,5,1,1,19,"Make more sales",29,"asian","MA","Over $200,000","woman","Full-time",NA,11,5,0,0
21,2.2,"I think the employee probably went to HR despite the manager's warning. The manager's behavior was unethical and just morally wrong to expect this out of a pregnant woman and then make threats. The manager should be fired.",1,1,7,1,2,2,2,1,2,4,1,2,3,3,1,1,9,"While pregnant, fly cross-country to debut a product",34,"white","2yearColl","$40,001-$60,000","man","Part-time",NA,3,3,1,1
22,3,"I think it's likely the employee reported the incident to someone, perhaps in HR.  I doubt the manager faced serious consequences, however.",1,2,6,1,3,4,2,2,2,3,3,1,5,5,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",38,"white","MA","$40,001-$60,000","woman","Full-time",NA,3,5,1,0
23,2,"I think the employee was unhappy with the manager's request to do extra work, potentially without being compensated. Usually employees can't decline requests like that, though, even if they're tired and already busy.",1,4,6,2,2,1,1,2,2,4,2,1,2,3,1,1,42,"Take up a colleague's duty as the employee was signing out",36,"white","GED","$40,001-$60,000","woman","Full-time",NA,3,2,1,0
24,3.9,"I think the employee tried to work faster at cleaning the room.",3,3,6,1,5,5,2,2,3,6,5,3,5,3,1,1,31,"Clean the rooms faster",37,"white","MA","$120,001-$140,000","man","Full-time",NA,7,5,1,1
26,2.5,"I believe the employee did a poor job of cleaning an area nearby since they felt like the manager's way of asking them to complete the task was unnecessary and over-the-top. The employee complied out of fear of retaliation rather than a desire to show their responsibility at their job.",2,2,5,1,5,3,2,1,2,4,2,1,2,3,1,1,39,"Clean something that the janitor normally cleans",33,"white","MA","$80,001-$100,000","man","Full-time",NA,5,5,1,1
27,1.5,"The employee probably felt awkward and uncomfrotable and wanted to leave working there after that.",1,1,7,1,1,1,1,3,1,1,1,1,4,1,1,1,21,"Give customers a hand-massage to try out the lotion",30,"white","MA","$100,001-$120,000","woman","Full-time",NA,6,5,1,0
28,4.2,"I think this made the employee a bit frustrated with the bosses behavior and the employee will continue to act willfully according the the beliefs that they have until the point that the boss may or may not pull the employee into the office and tell them that there is a certain way that we do things around here.",2,1,2,1,5,5,5,4,4,5,4,2,5,3,1,1,28,"Complete the report like the rest of the team",56,"white","4yearColl","$100,001-$120,000","man","Full-time","no comments/feedback at this time",6,4,1,1
29,4.2,"I'm hoping the employee improved their performance and started cleaning the rooms faster.",3,5,5,4,5,3,5,5,5,5,2,5,2,5,1,1,31,"Clean the rooms faster",32,"white","4yearColl","$160,001-$180,000","man","Full-time",NA,9,4,1,1
30,2.1,"i think the employee filed the wrong thing with the court which ultimately affected her credibility, and the managers, and put her in an uncomfortable situation in both the court and her office.",1,6,7,1,2,3,1,1,2,1,1,1,5,4,1,1,22,"File paperwork that the employee thinks is incorrect",23,"hispanic","4yearColl","$20,001-$40,000","woman","Full-time",NA,2,4,0,0
31,3,"I think the employee never sat on that chair again. I think the employee was embarrassed to be called out and wanted to leave the room with the manager very quickly.",3,4,5,5,3,3,1,1,2,6,3,1,5,5,1,1,12,"Stop taking breaks in tenants' apartments",36,"white","4yearColl","$80,001-$100,000","woman","Full-time",NA,5,4,1,0
32,4.2,"Employees were less interested and frustrated. When having meeting you have to be friendly and talk to people nice. Be welcoming",2,5,5,1,6,6,4,5,2,2,2,5,5,5,1,1,37,"Revamp copmany's social social media strategy to increase sales, engagement and brand visibility",30,"hispanic","2yearColl","$40,001-$60,000","man","Full-time",NA,3,3,0,1
33,2.7,"It is not fair to do that. The employee is already busy with their own tasks. It is not fair dump additional tasks. Employee is right about not accepting the job.",2,1,6,1,2,2,2,6,3,5,2,2,1,2,1,1,13,"Spearhead a project for a new children's exhibit",52,"white","PHD","$120,001-$140,000","man","Full-time",NA,7,6,1,1
34,2.4,"Not sure why the owner had to reimburse in the first place. The owner has a right to make decisions and the employee can quit and move on.",2,5,6,2,2,3,2,2,2,4,2,2,3,2,1,1,19,"Make more sales",69,"white","MA","$60,001-$80,000","man","Part-time",NA,4,5,1,1
35,2.2,"He lost the respect of his worker. He acted like a control freak.",1,1,6,1,2,2,2,2,2,2,2,2,3,3,1,1,33,"Stop responding to CFO emails directly, bypassing the acting director",47,"white","4yearColl","$120,001-$140,000","man","Full-time",NA,7,4,1,1
36,2.8,"If they agreed to complete additional duties, some could have been done incorrectly due to fatigue.",2,4,6,1,5,3,2,1,4,5,4,1,1,2,1,1,42,"Take up a colleague's duty as the employee was signing out",42,"white","4yearColl","$180,001-$200,000","woman","Full-time",NA,10,4,1,0
37,1.6,"i think the employee was discouraged and felt like their hands were tied in this situation",1,5,6,1,1,2,1,1,1,2,1,1,2,4,1,1,15,"Produce a great deal of documentation and research without additional compensation",28,"white","2yearColl","$40,001-$60,000","woman","Full-time",NA,3,3,1,0
38,2.2,"I think the person got talked to about their behavior. I do not think the behavior will change though",2,2,4,1,2,2,1,1,1,4,3,4,2,2,1,1,39,"Clean something that the janitor normally cleans",27,"white","MA","$100,001-$120,000","woman","Part-time",NA,6,5,1,0
39,1.2,"I think they were wrote up over the situation and may be losing their job because of it.",1,1,5,1,1,1,1,1,1,1,1,1,1,3,1,1,21,"Give customers a hand-massage to try out the lotion",31,"white","GED","$40,001-$60,000","man","Full-time",NA,3,2,1,1
40,3,"I'm confused with the question. The manager's behavior didn't have consequences, they told the employee they would be fired if they didn't clean their rooms faster. The employee's actions have consequences.",3,3,5,5,3,4,1,2,3,5,2,2,3,5,1,1,31,"Clean the rooms faster",33,"hispanic","4yearColl","$40,001-$60,000","woman","Full-time",NA,3,4,0,0
42,1.8,"The manager talk down on them as if they was a child. The employee felt like what they do gets pinpointed more than the other employees.",2,3,6,2,2,3,1,1,1,2,2,2,2,2,1,1,28,"Complete the report like the rest of the team",42,"white","GED","$20,001-$40,000","woman","Part-time",NA,2,2,1,0
43,1,"I hope they were reprimanded and HR clarified that their actions were discriminatory. As an employee I would be happy that the situation was follow up on and the manager was held accountable.",1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,9,"While pregnant, fly cross-country to debut a product",45,"white","MA","$140,001-$160,000","man","Full-time",NA,8,5,1,1
44,1.6,"I think that the manager was most likely reported to HR and her and the employee will have to reconcile their issues.",2,4,6,1,3,1,1,1,1,4,1,1,1,2,1,1,28,"Complete the report like the rest of the team",23,"black","GED","$60,001-$80,000","man","Full-time",NA,4,2,0,1
45,3.8,"The employee is displeased and may not continue to help the manager on the that particular project",3,4,5,1,5,3,4,4,3,5,2,4,4,4,1,1,29,"Help in completing the manager's project",24,"white","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,1,0
46,3,"I don't think the manager received any real consequences other than maybe the person writing the story not liking the manager or wanting to engage with him anymore.",2,5,4,1,5,3,2,2,2,5,2,2,2,5,1,1,39,"Clean something that the janitor normally cleans",32,"hispanic","4yearColl","$60,001-$80,000","woman","Full-time",NA,4,4,0,0
47,3.3,"The employee should tell the manager that they did ask for donations and explain that the customers did not want to donate. If the manager's attitude was particularly bad then they should complain to a higher up.",2,7,6,1,5,3,2,2,3,4,3,4,3,4,1,1,30,"Get more customers to donate to charity",39,"asian","MA","$20,001-$40,000","woman","Full-time",NA,2,5,0,0
48,2.6,"After the manager made that clear threat to this person's employment, I think the person did make an effort to be faster. Anyone would at least try when their job depends pn it, I know I would try to become faster if my manager threatened me like that.",1,4,7,1,1,3,2,1,3,4,2,1,4,5,1,1,31,"Clean the rooms faster",47,"hispanic","2yearColl","$60,001-$80,000","woman","Part-time","Thanks!",4,3,0,0
49,2.4,"It is difficult to know what the consequences were, other than the employee was obviously not happy about the manager's behavior.  It is easy to assume the employee was upset but probably still did the work.  It is a very tough situation for the employee, as blowing the whistle on the manager can backfire tremendously.",1,7,7,1,2,1,1,1,1,6,1,1,5,5,1,1,15,"Produce a great deal of documentation and research without additional compensation",52,"white","MA","$40,001-$60,000","man","Full-time","ty",3,5,1,1
