"PID","choice","points","attitude","rec","is_dom","MID","message","age","race","edu","income","gender","employment","feedback"
1,"No",0,1,0,1,"KJ482kw","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.",45,"white","MA","$100,001-$120,000","man","Full-time",""
2,"No",0,5,1,0,"VD105li","Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.",25,"asian","4yearColl","$40,001-$60,000","man","Full-time",""
3,"Yes",5,6,1,0,"HU074mk","Whether you do well or not, I appreciate your hard work at this company and will continue to support you.",NA,"white","4yearColl","$120,001-$140,000","woman","Full-time",""
4,"No",0,6,1,0,"OA261ld","I've given you a relatively easy task that I know you'll perform your absolute best on! To help make the task a little better, you can earn a nice bonus - so make sure to give it your all! I have no doubt that you'll find it easy and fun. You've got this!",46,"white","GED","$40,001-$60,000","woman","Full-time",""
5,"No",0,3,1,0,"YF438np","Please do the best that you can to identify all the shapes that are described. Feel free to take your time and double-check your choices - you don't need to be perfect, just make your best effort!",23,"hispanic","4yearColl","$20,001-$40,000","man","Part-time",""
6,"No",0,1,0,1,"MR621vy","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.",55,"white","MA","$80,001-$100,000","woman","Part-time",""
7,"No",0,2,0,1,"GV333wu","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.",22,"multiracial","4yearColl","$60,001-$80,000","woman","Full-time",""
8,"Yes",21,3,1,1,"LB941bt","You've got to have this task done in its entirety before leaving leaving today. We're relying on you for accurate work with this one, so please do not let us down.",24,"white","GED","$100,001-$120,000","man","Part-time",""
9,"No",0,1,0,1,"GJ795ld","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.",41,"white","MA","$140,001-$160,000","woman","Full-time",""
10,"No",0,1,0,1,"ZC801er","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.",27,"white","GED","$20,001-$40,000","woman","Full-time",""
