"PID","message_choice","is_dom","CWV","message_aff","message_dom","choice_dom","comp_dom","attitude_dom","choice_aff","comp_aff","attitude_aff","nompred_dom","nompred_aff","keep_1","keep_2","keep_3","keep_4","keep_5","keep_6","keep_7","keep_8","keep_9","keep_10","CWV_1","CWV_2R","CWV_3","CWV_4","CWV_5R","CWV_6","CWV_7R","CWV_8","CWV_9R","CWV_10R","att_1","MID_aff","MID_dom","age","race","edu","income","gender","employment","feedback"
1,"aff",0,3,"Hey teammate, I chose you to help complete this shape identification task because it is a quick, fun way for both of us to earn a bonus and I know you are the perfect person for the job! I'd really appreciate your attention and focus and I'll make sure your bonus reflects your hard work. Let's win this together!","Remember this project is very important to the success of the company and your success here. If you can't accomplish it, you may not be a good fit to continue working here.","do task",38,6,"do task",40,6,1,1,3,0,48,60,58,65,68,68,68,71,5,3,3,2,2,3,3,2,2,5,1,"PA168kd","AB972vt",22,"asian","4yearColl","Over $200,000","woman","Part-time",""
2,"aff",0,2.5,"I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","do task",33,2,"do task",37,5,0,1,68,130,181,200,200,200,200,200,200,200,2,3,2,2,4,2,2,2,2,4,1,"VQ327uf","GJ795ld",23,"white","4yearColl","$60,001-$80,000","man","Full-time",""
3,"aff",0,3,"Whether you do well or not, I appreciate your hard work at this company and will continue to support you.","There is an activity coming up that you must participate in. This is not optional. You will be automatically enrolled, and the deadline is a hard deadline. Failure to complete the task will result in the potential to be written up.","skip task",20,2,"do task",35,6,0,1,15,20,25,41,60,80,104,130,170,200,5,6,1,2,2,2,2,2,2,6,1,"HU074mk","MR621vy",26,"asian","4yearColl","$40,001-$60,000","woman","Full-time",""
4,"aff",0,1.7,"Hi, I have a task that needs to be completed. You've got a sharp eye and I would appreciate if you could do it.","I need for you to complete a task for me. Your performance directly affects not only my bonus, but yours as well.","skip task",45,2,"do task",50,6,0,1,10,20,40,58,70,110,143,170,187,200,2,2,1,1,4,2,1,1,1,2,1,"LW745iy","GV333wu",35,"white","MA","$80,001-$100,000","man","Full-time",""
5,"aff",0,2.4,"Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!","This exercise determines your bonus. So do your best or your bonus will be affected.","do task",45,5,"do task",40,6,1,1,39,98,180,180,180,200,200,200,200,200,2,2,1,2,2,4,3,2,3,3,1,"AC528ed","XW406gb",47,"white","4yearColl","$40,001-$60,000","woman","Full-time",""
6,"aff",0,3.9,"I think you would be great for this job. You are a hard worker with great skills. I know I can count on you to get the job done.","This task I am assigning you is pretty important and needs to be done as well as possible. If you do not perform well you will not be receiving a possible bonus that I can reward you with. If you want this bonus, you will perform according.","skip task",36,2,"do task",47,6,0,1,40,60,80,110,141,149,164,177,186,200,5,5,2,3,4,5,3,3,4,5,1,"JV696yc","WC835pl",37,"white","GED","$60,001-$80,000","man","Full-time",""
7,"aff",0,3.3,"We win together! You got this, I believe in your amazing abilities and by doing well, we can both walk away with pride and compensation!","I want you to do this job and do it properly. I expect you to get all 50 shapes correct.","do task",41,2,"do task",50,7,0,1,58,82,99,112,127,143,156,172,188,200,4,4,3,3,2,4,3,3,4,3,1,"RA103dx","JI806xu",32,"white","4yearColl","$60,001-$80,000","woman","Full-time",""
8,"aff",0,3.4,"Please do your best at this exercise as I have faith that you will try your hardest, but if you make a mistake, no worries. Just take a deep breath focus on the exercise and you will do great!","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",40,1,"do task",33,7,0,1,0,0,25,50,75,100,125,150,175,200,3,4,5,3,2,5,2,3,2,5,1,"AC528ed","XD206yn",24,"asian","4yearColl","$120,001-$140,000","woman","Full-time",""
9,"aff",0,2.1,"Hey, i have a unique opportunity for you to contribute to our team's success. This task could really make a difference for both of us. Your keen eye for details would be invaluable here.","If you do not do well on this task, you're at risk of being demoted and also will not receive a bonus.","skip task",30,1,"do task",42,6,0,1,20,40,60,80,100,120,140,160,180,200,2,2,1,1,1,2,6,1,3,2,1,"BD990bc","XD206yn",31,"white","MA","$160,001-$180,000","man","Full-time",""
10,"aff",0,1.5,"Hey. Our boss has given us a fun and easy task to complete. I think it will allow you to test your intelligence and see exactly how much you know. You will be granting a bonus based on how much you would come up with. Let's do it! It is definitely worth our time.","Hello, I am writing you today to notify you that you must complete this task flawlessly. There may be consequences if there is any more than 10% wrong. Pay close attention to the task.","skip task",50,3,"do task",50,7,0,1,200,200,200,200,200,200,200,200,200,200,1,1,1,1,1,5,1,1,1,2,1,"VD105li","ZC801er",70,"white","GED","$20,001-$40,000","woman","Part-time",""
11,"aff",0,1.9,"I have faith that you will excel and perform this given task to the best of your ability because I know how hard-working my employees are. With that being said, there will be a monetary reward for those that perform this task as accurately and efficiently as possible!","This request needs to be completed immediately and if it is not done correctly, your bonus will be affected. In fact, mine is affected as well, so you better do it right.","skip task",10,2,"do task",42,6,0,1,0,15,36,80,116,157,157,200,200,200,2,1,6,1,1,1,1,1,3,2,1,"VQ327uf","LC320iz",35,"white","4yearColl","$80,001-$100,000","man","Full-time",""
12,"aff",0,3.3,"I am guessing that you will do great on this task and in doing so you will earn yourself a nice little bonus. Do your best and I know the outcome will be favorable.","You've been selected for a rigorous task that will impact how the company views our team, myself, and you. This is extremely important and you must understand the gravity of the role you're being assigned. If you were to do poorly, it would impact your standing with the company as well as in my eyes. I want you focus on succeeding in any way possible and remember how much weight this carries.","skip task",50,1,"do task",45,5,0,1,50,50,50,50,50,50,70,100,140,180,7,1,4,3,4,4,1,4,4,1,1,"DV618ch","KJ482kw",33,"hispanic","GED",NA,"man","Unemployed",""
13,"aff",0,2.6,"This task is meant to challenge you but I have every faith that you will rise to the occasion. Take your time, think clearly and I know you will succeed.","Please remember that this task directly affects your future pay and performance. Attempting to skate by or not give your full effort will result in severe consequences.","do task",40,2,"do task",45,7,0,1,90,105,120,135,150,160,170,180,190,200,6,2,1,1,3,6,1,2,2,2,1,"VM414kq","GJ795ld",65,"white","4yearColl","$20,001-$40,000","woman","Full-time",""
